item_name,category,mrp,discount,selling_price,quantity,date
India Gate Rice 5kg,Staples,420,0,420,169,1/4/2025
Amul Milk 1L,Dairy,62,30,32,134,1/4/2025
Amul Butter 500g,Dairy,275,0,275,76,1/4/2025
Tata Tea Gold 500g,Beverages,265,15,250,105,1/4/2025
Nescafe Coffee 200g,Beverages,240,15,225,165,1/4/2025
Parle-G Biscuits,Snacks,10,10,0,72,1/4/2025
Maggi Noodles Pack,Instant Food,56,30,26,117,1/4/2025
Surf Excel 2kg,Home Care,420,0,420,127,1/4/2025
Ariel Liquid 1L,Home Care,395,30,365,125,1/4/2025
Lux Soap Pack,Personal Care,160,30,130,21,1/4/2025
Clinic Plus Shampoo 650ml,Personal Care,340,30,310,171,1/4/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,83,1/4/2025
Harpic Toilet Cleaner,Home Care,190,0,190,111,1/4/2025
Good Day Biscuits,Snacks,30,15,15,100,1/4/2025
Britannia Bread,Bakery,45,0,45,82,1/4/2025
Tropicana Juice 1L,Beverages,120,20,100,119,1/4/2025
Pepsi 2.25L,Beverages,99,15,84,163,1/4/2025
Cadbury Dairy Milk,Confectionery,40,5,35,23,1/4/2025
Aashirvaad Atta 5kg,Staples,320,5,315,171,1/5/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,104,1/5/2025
India Gate Rice 5kg,Staples,420,20,400,49,1/5/2025
Amul Milk 1L,Dairy,62,15,47,113,1/5/2025
Amul Butter 500g,Dairy,275,5,270,17,1/5/2025
Tata Tea Gold 500g,Beverages,265,0,265,13,1/5/2025
Nescafe Coffee 200g,Beverages,240,5,235,190,1/5/2025
Parle-G Biscuits,Snacks,10,20,-10,168,1/5/2025
Maggi Noodles Pack,Instant Food,56,0,56,126,1/5/2025
Surf Excel 2kg,Home Care,420,10,410,40,1/5/2025
Ariel Liquid 1L,Home Care,395,5,390,12,1/5/2025
Lux Soap Pack,Personal Care,160,5,155,125,1/5/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,151,1/5/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,190,1/5/2025
Harpic Toilet Cleaner,Home Care,190,30,160,94,1/5/2025
Good Day Biscuits,Snacks,30,0,30,52,1/5/2025
Britannia Bread,Bakery,45,10,35,178,1/5/2025
Tropicana Juice 1L,Beverages,120,0,120,104,1/5/2025
Pepsi 2.25L,Beverages,99,10,89,130,1/5/2025
Cadbury Dairy Milk,Confectionery,40,30,10,28,1/5/2025
Aashirvaad Atta 5kg,Staples,320,10,310,54,1/6/2025
Fortune Sunflower Oil 1L,Edible Oil,190,5,185,73,1/6/2025
India Gate Rice 5kg,Staples,420,15,405,28,1/6/2025
Amul Milk 1L,Dairy,62,15,47,93,1/6/2025
Amul Butter 500g,Dairy,275,30,245,113,1/6/2025
Tata Tea Gold 500g,Beverages,265,20,245,19,1/6/2025
Nescafe Coffee 200g,Beverages,240,10,230,10,1/6/2025
Parle-G Biscuits,Snacks,10,20,-10,78,1/6/2025
Maggi Noodles Pack,Instant Food,56,30,26,127,1/6/2025
Surf Excel 2kg,Home Care,420,20,400,144,1/6/2025
Ariel Liquid 1L,Home Care,395,10,385,54,1/6/2025
Lux Soap Pack,Personal Care,160,0,160,48,1/6/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,147,1/6/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,154,1/6/2025
Harpic Toilet Cleaner,Home Care,190,15,175,177,1/6/2025
Good Day Biscuits,Snacks,30,10,20,49,1/6/2025
Britannia Bread,Bakery,45,5,40,137,1/6/2025
Tropicana Juice 1L,Beverages,120,5,115,149,1/6/2025
Pepsi 2.25L,Beverages,99,10,89,89,1/6/2025
Cadbury Dairy Milk,Confectionery,40,30,10,186,1/6/2025
Aashirvaad Atta 5kg,Staples,320,20,300,68,1/7/2025
Fortune Sunflower Oil 1L,Edible Oil,190,30,160,114,1/7/2025
India Gate Rice 5kg,Staples,420,15,405,169,1/7/2025
Amul Milk 1L,Dairy,62,20,42,155,1/7/2025
Amul Butter 500g,Dairy,275,30,245,188,1/7/2025
Tata Tea Gold 500g,Beverages,265,15,250,158,1/7/2025
Nescafe Coffee 200g,Beverages,240,30,210,118,1/7/2025
Parle-G Biscuits,Snacks,10,30,-20,154,1/7/2025
Maggi Noodles Pack,Instant Food,56,10,46,142,1/7/2025
Surf Excel 2kg,Home Care,420,15,405,95,1/7/2025
Ariel Liquid 1L,Home Care,395,5,390,45,1/7/2025
Lux Soap Pack,Personal Care,160,0,160,45,1/7/2025
Clinic Plus Shampoo 650ml,Personal Care,340,0,340,21,1/7/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,64,1/7/2025
Harpic Toilet Cleaner,Home Care,190,10,180,29,1/7/2025
Good Day Biscuits,Snacks,30,5,25,199,1/7/2025
Britannia Bread,Bakery,45,10,35,46,1/7/2025
Tropicana Juice 1L,Beverages,120,0,120,168,1/7/2025
Pepsi 2.25L,Beverages,99,30,69,42,1/7/2025
Cadbury Dairy Milk,Confectionery,40,10,30,114,1/7/2025
Aashirvaad Atta 5kg,Staples,320,5,315,23,1/8/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,134,1/8/2025
India Gate Rice 5kg,Staples,420,0,420,176,1/8/2025
Amul Milk 1L,Dairy,62,30,32,197,1/8/2025
Amul Butter 500g,Dairy,275,20,255,169,1/8/2025
Tata Tea Gold 500g,Beverages,265,5,260,134,1/8/2025
Nescafe Coffee 200g,Beverages,240,0,240,106,1/8/2025
Parle-G Biscuits,Snacks,10,5,5,73,1/8/2025
Maggi Noodles Pack,Instant Food,56,10,46,69,1/8/2025
Surf Excel 2kg,Home Care,420,10,410,40,1/8/2025
Ariel Liquid 1L,Home Care,395,5,390,69,1/8/2025
Lux Soap Pack,Personal Care,160,30,130,116,1/8/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,29,1/8/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,138,1/8/2025
Harpic Toilet Cleaner,Home Care,190,15,175,180,1/8/2025
Good Day Biscuits,Snacks,30,5,25,12,1/8/2025
Britannia Bread,Bakery,45,10,35,68,1/8/2025
Tropicana Juice 1L,Beverages,120,20,100,148,1/8/2025
Pepsi 2.25L,Beverages,99,0,99,79,1/8/2025
Cadbury Dairy Milk,Confectionery,40,0,40,154,1/8/2025
Aashirvaad Atta 5kg,Staples,320,30,290,131,1/9/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,85,1/9/2025
India Gate Rice 5kg,Staples,420,10,410,131,1/9/2025
Amul Milk 1L,Dairy,62,5,57,145,1/9/2025
Amul Butter 500g,Dairy,275,0,275,115,1/9/2025
Tata Tea Gold 500g,Beverages,265,0,265,165,1/9/2025
Nescafe Coffee 200g,Beverages,240,30,210,74,1/9/2025
Parle-G Biscuits,Snacks,10,5,5,19,1/9/2025
Maggi Noodles Pack,Instant Food,56,15,41,62,1/9/2025
Surf Excel 2kg,Home Care,420,10,410,67,1/9/2025
Ariel Liquid 1L,Home Care,395,0,395,123,1/9/2025
Lux Soap Pack,Personal Care,160,10,150,33,1/9/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,157,1/9/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,86,1/9/2025
Harpic Toilet Cleaner,Home Care,190,15,175,103,1/9/2025
Good Day Biscuits,Snacks,30,20,10,111,1/9/2025
Britannia Bread,Bakery,45,20,25,159,1/9/2025
Tropicana Juice 1L,Beverages,120,20,100,184,1/9/2025
Pepsi 2.25L,Beverages,99,30,69,94,1/9/2025
Cadbury Dairy Milk,Confectionery,40,20,20,187,1/9/2025
Aashirvaad Atta 5kg,Staples,320,5,315,140,1/10/2025
Fortune Sunflower Oil 1L,Edible Oil,190,5,185,107,1/10/2025
India Gate Rice 5kg,Staples,420,10,410,22,1/10/2025
Amul Milk 1L,Dairy,62,20,42,92,1/10/2025
Amul Butter 500g,Dairy,275,30,245,76,1/10/2025
Tata Tea Gold 500g,Beverages,265,30,235,169,1/10/2025
Nescafe Coffee 200g,Beverages,240,0,240,97,1/10/2025
Parle-G Biscuits,Snacks,10,5,5,136,1/10/2025
Maggi Noodles Pack,Instant Food,56,5,51,84,1/10/2025
Surf Excel 2kg,Home Care,420,0,420,25,1/10/2025
Ariel Liquid 1L,Home Care,395,0,395,48,1/10/2025
Lux Soap Pack,Personal Care,160,30,130,59,1/10/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,140,1/10/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,143,1/10/2025
Harpic Toilet Cleaner,Home Care,190,0,190,39,1/10/2025
Good Day Biscuits,Snacks,30,0,30,29,1/10/2025
Britannia Bread,Bakery,45,5,40,25,1/10/2025
Tropicana Juice 1L,Beverages,120,15,105,92,1/10/2025
Pepsi 2.25L,Beverages,99,0,99,51,1/10/2025
Cadbury Dairy Milk,Confectionery,40,10,30,36,1/10/2025
Aashirvaad Atta 5kg,Staples,320,10,310,18,1/11/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,170,1/11/2025
India Gate Rice 5kg,Staples,420,20,400,24,1/11/2025
Amul Milk 1L,Dairy,62,15,47,121,1/11/2025
Amul Butter 500g,Dairy,275,30,245,121,1/11/2025
Tata Tea Gold 500g,Beverages,265,15,250,24,1/11/2025
Nescafe Coffee 200g,Beverages,240,30,210,67,1/11/2025
Parle-G Biscuits,Snacks,10,20,-10,44,1/11/2025
Maggi Noodles Pack,Instant Food,56,15,41,60,1/11/2025
Surf Excel 2kg,Home Care,420,10,410,24,1/11/2025
Ariel Liquid 1L,Home Care,395,0,395,190,1/11/2025
Lux Soap Pack,Personal Care,160,5,155,20,1/11/2025
Clinic Plus Shampoo 650ml,Personal Care,340,30,310,33,1/11/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,38,1/11/2025
Harpic Toilet Cleaner,Home Care,190,10,180,20,1/11/2025
Good Day Biscuits,Snacks,30,15,15,139,1/11/2025
Britannia Bread,Bakery,45,30,15,172,1/11/2025
Tropicana Juice 1L,Beverages,120,15,105,56,1/11/2025
Pepsi 2.25L,Beverages,99,10,89,174,1/11/2025
Cadbury Dairy Milk,Confectionery,40,20,20,13,1/11/2025
Aashirvaad Atta 5kg,Staples,320,10,310,69,1/12/2025
Fortune Sunflower Oil 1L,Edible Oil,190,5,185,172,1/12/2025
India Gate Rice 5kg,Staples,420,30,390,154,1/12/2025
Amul Milk 1L,Dairy,62,10,52,71,1/12/2025
Amul Butter 500g,Dairy,275,10,265,198,1/12/2025
Tata Tea Gold 500g,Beverages,265,30,235,136,1/12/2025
Nescafe Coffee 200g,Beverages,240,15,225,81,1/12/2025
Parle-G Biscuits,Snacks,10,0,10,176,1/12/2025
Maggi Noodles Pack,Instant Food,56,15,41,108,1/12/2025
Surf Excel 2kg,Home Care,420,5,415,154,1/12/2025
Ariel Liquid 1L,Home Care,395,10,385,157,1/12/2025
Lux Soap Pack,Personal Care,160,5,155,124,1/12/2025
Clinic Plus Shampoo 650ml,Personal Care,340,0,340,60,1/12/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,146,1/12/2025
Harpic Toilet Cleaner,Home Care,190,30,160,98,1/12/2025
Good Day Biscuits,Snacks,30,0,30,164,1/12/2025
Britannia Bread,Bakery,45,0,45,128,1/12/2025
Tropicana Juice 1L,Beverages,120,20,100,164,1/12/2025
Pepsi 2.25L,Beverages,99,5,94,101,1/12/2025
Cadbury Dairy Milk,Confectionery,40,10,30,70,1/12/2025
Aashirvaad Atta 5kg,Staples,320,15,305,151,1/13/2025
Fortune Sunflower Oil 1L,Edible Oil,190,30,160,35,1/13/2025
India Gate Rice 5kg,Staples,420,30,390,178,1/13/2025
Amul Milk 1L,Dairy,62,30,32,91,1/13/2025
Amul Butter 500g,Dairy,275,5,270,176,1/13/2025
Tata Tea Gold 500g,Beverages,265,30,235,117,1/13/2025
Nescafe Coffee 200g,Beverages,240,5,235,12,1/13/2025
Parle-G Biscuits,Snacks,10,20,-10,84,1/13/2025
Maggi Noodles Pack,Instant Food,56,0,56,163,1/13/2025
Surf Excel 2kg,Home Care,420,10,410,68,1/13/2025
Ariel Liquid 1L,Home Care,395,0,395,136,1/13/2025
Lux Soap Pack,Personal Care,160,0,160,105,1/13/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,161,1/13/2025
Colgate Toothpaste 200g,Personal Care,135,10,125,177,1/13/2025
Harpic Toilet Cleaner,Home Care,190,0,190,176,1/13/2025
Good Day Biscuits,Snacks,30,20,10,119,1/13/2025
Britannia Bread,Bakery,45,5,40,36,1/13/2025
Tropicana Juice 1L,Beverages,120,5,115,143,1/13/2025
Pepsi 2.25L,Beverages,99,5,94,150,1/13/2025
Cadbury Dairy Milk,Confectionery,40,15,25,96,1/13/2025
Aashirvaad Atta 5kg,Staples,320,15,305,10,1/14/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,68,1/14/2025
India Gate Rice 5kg,Staples,420,10,410,29,1/14/2025
Amul Milk 1L,Dairy,62,10,52,143,1/14/2025
Amul Butter 500g,Dairy,275,30,245,11,1/14/2025
Tata Tea Gold 500g,Beverages,265,30,235,166,1/14/2025
Nescafe Coffee 200g,Beverages,240,30,210,97,1/14/2025
Parle-G Biscuits,Snacks,10,15,-5,124,1/14/2025
Maggi Noodles Pack,Instant Food,56,15,41,110,1/14/2025
Surf Excel 2kg,Home Care,420,20,400,108,1/14/2025
Ariel Liquid 1L,Home Care,395,15,380,64,1/14/2025
Lux Soap Pack,Personal Care,160,0,160,82,1/14/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,115,1/14/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,94,1/14/2025
Harpic Toilet Cleaner,Home Care,190,20,170,145,1/14/2025
Good Day Biscuits,Snacks,30,30,0,82,1/14/2025
Britannia Bread,Bakery,45,15,30,58,1/14/2025
Tropicana Juice 1L,Beverages,120,0,120,131,1/14/2025
Pepsi 2.25L,Beverages,99,10,89,31,1/14/2025
Cadbury Dairy Milk,Confectionery,40,10,30,29,1/14/2025
Aashirvaad Atta 5kg,Staples,320,30,290,170,1/15/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,57,1/15/2025
India Gate Rice 5kg,Staples,420,10,410,109,1/15/2025
Amul Milk 1L,Dairy,62,5,57,106,1/15/2025
Amul Butter 500g,Dairy,275,0,275,121,1/15/2025
Tata Tea Gold 500g,Beverages,265,30,235,156,1/15/2025
Nescafe Coffee 200g,Beverages,240,30,210,78,1/15/2025
Parle-G Biscuits,Snacks,10,10,0,25,1/15/2025
Maggi Noodles Pack,Instant Food,56,5,51,179,1/15/2025
Surf Excel 2kg,Home Care,420,5,415,116,1/15/2025
Ariel Liquid 1L,Home Care,395,15,380,79,1/15/2025
Lux Soap Pack,Personal Care,160,20,140,38,1/15/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,65,1/15/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,144,1/15/2025
Harpic Toilet Cleaner,Home Care,190,0,190,137,1/15/2025
Good Day Biscuits,Snacks,30,20,10,13,1/15/2025
Britannia Bread,Bakery,45,0,45,86,1/15/2025
Tropicana Juice 1L,Beverages,120,10,110,75,1/15/2025
Pepsi 2.25L,Beverages,99,10,89,33,1/15/2025
Cadbury Dairy Milk,Confectionery,40,0,40,64,1/15/2025
Aashirvaad Atta 5kg,Staples,320,0,320,125,1/16/2025
Fortune Sunflower Oil 1L,Edible Oil,190,30,160,192,1/16/2025
India Gate Rice 5kg,Staples,420,15,405,105,1/16/2025
Amul Milk 1L,Dairy,62,15,47,121,1/16/2025
Amul Butter 500g,Dairy,275,10,265,163,1/16/2025
Tata Tea Gold 500g,Beverages,265,5,260,24,1/16/2025
Nescafe Coffee 200g,Beverages,240,5,235,81,1/16/2025
Parle-G Biscuits,Snacks,10,5,5,32,1/16/2025
Maggi Noodles Pack,Instant Food,56,0,56,107,1/16/2025
Surf Excel 2kg,Home Care,420,10,410,143,1/16/2025
Ariel Liquid 1L,Home Care,395,20,375,26,1/16/2025
Lux Soap Pack,Personal Care,160,20,140,30,1/16/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,19,1/16/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,175,1/16/2025
Harpic Toilet Cleaner,Home Care,190,10,180,16,1/16/2025
Good Day Biscuits,Snacks,30,15,15,63,1/16/2025
Britannia Bread,Bakery,45,0,45,23,1/16/2025
Tropicana Juice 1L,Beverages,120,15,105,20,1/16/2025
Pepsi 2.25L,Beverages,99,20,79,137,1/16/2025
Cadbury Dairy Milk,Confectionery,40,5,35,180,1/16/2025
Aashirvaad Atta 5kg,Staples,320,0,320,192,1/17/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,174,1/17/2025
India Gate Rice 5kg,Staples,420,10,410,112,1/17/2025
Amul Milk 1L,Dairy,62,30,32,193,1/17/2025
Amul Butter 500g,Dairy,275,5,270,11,1/17/2025
Tata Tea Gold 500g,Beverages,265,5,260,189,1/17/2025
Nescafe Coffee 200g,Beverages,240,30,210,151,1/17/2025
Parle-G Biscuits,Snacks,10,5,5,17,1/17/2025
Maggi Noodles Pack,Instant Food,56,30,26,36,1/17/2025
Surf Excel 2kg,Home Care,420,10,410,176,1/17/2025
Ariel Liquid 1L,Home Care,395,0,395,19,1/17/2025
Lux Soap Pack,Personal Care,160,10,150,176,1/17/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,171,1/17/2025
Colgate Toothpaste 200g,Personal Care,135,10,125,82,1/17/2025
Harpic Toilet Cleaner,Home Care,190,15,175,50,1/17/2025
Good Day Biscuits,Snacks,30,20,10,185,1/17/2025
Britannia Bread,Bakery,45,10,35,118,1/17/2025
Tropicana Juice 1L,Beverages,120,30,90,135,1/17/2025
Pepsi 2.25L,Beverages,99,5,94,66,1/17/2025
Cadbury Dairy Milk,Confectionery,40,20,20,97,1/17/2025
Aashirvaad Atta 5kg,Staples,320,20,300,88,1/18/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,69,1/18/2025
India Gate Rice 5kg,Staples,420,20,400,113,1/18/2025
Amul Milk 1L,Dairy,62,20,42,47,1/18/2025
Amul Butter 500g,Dairy,275,10,265,69,1/18/2025
Tata Tea Gold 500g,Beverages,265,5,260,45,1/18/2025
Nescafe Coffee 200g,Beverages,240,10,230,195,1/18/2025
Parle-G Biscuits,Snacks,10,10,0,10,1/18/2025
Maggi Noodles Pack,Instant Food,56,20,36,145,1/18/2025
Surf Excel 2kg,Home Care,420,10,410,167,1/18/2025
Ariel Liquid 1L,Home Care,395,10,385,17,1/18/2025
Lux Soap Pack,Personal Care,160,0,160,94,1/18/2025
Clinic Plus Shampoo 650ml,Personal Care,340,15,325,22,1/18/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,112,1/18/2025
Harpic Toilet Cleaner,Home Care,190,15,175,110,1/18/2025
Good Day Biscuits,Snacks,30,0,30,75,1/18/2025
Britannia Bread,Bakery,45,30,15,82,1/18/2025
Tropicana Juice 1L,Beverages,120,30,90,177,1/18/2025
Pepsi 2.25L,Beverages,99,30,69,177,1/18/2025
Cadbury Dairy Milk,Confectionery,40,10,30,106,1/18/2025
Aashirvaad Atta 5kg,Staples,320,5,315,34,1/19/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,51,1/19/2025
India Gate Rice 5kg,Staples,420,15,405,129,1/19/2025
Amul Milk 1L,Dairy,62,0,62,170,1/19/2025
Amul Butter 500g,Dairy,275,20,255,171,1/19/2025
Tata Tea Gold 500g,Beverages,265,30,235,76,1/19/2025
Nescafe Coffee 200g,Beverages,240,5,235,152,1/19/2025
Parle-G Biscuits,Snacks,10,30,-20,162,1/19/2025
Maggi Noodles Pack,Instant Food,56,5,51,93,1/19/2025
Surf Excel 2kg,Home Care,420,15,405,73,1/19/2025
Ariel Liquid 1L,Home Care,395,15,380,105,1/19/2025
Lux Soap Pack,Personal Care,160,30,130,133,1/19/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,45,1/19/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,76,1/19/2025
Harpic Toilet Cleaner,Home Care,190,10,180,14,1/19/2025
Good Day Biscuits,Snacks,30,15,15,73,1/19/2025
Britannia Bread,Bakery,45,20,25,100,1/19/2025
Tropicana Juice 1L,Beverages,120,10,110,153,1/19/2025
Pepsi 2.25L,Beverages,99,20,79,180,1/19/2025
Cadbury Dairy Milk,Confectionery,40,10,30,49,1/19/2025
Aashirvaad Atta 5kg,Staples,320,15,305,43,1/20/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,65,1/20/2025
India Gate Rice 5kg,Staples,420,0,420,83,1/20/2025
Amul Milk 1L,Dairy,62,20,42,42,1/20/2025
Amul Butter 500g,Dairy,275,5,270,129,1/20/2025
Tata Tea Gold 500g,Beverages,265,15,250,22,1/20/2025
Nescafe Coffee 200g,Beverages,240,0,240,120,1/20/2025
Parle-G Biscuits,Snacks,10,5,5,67,1/20/2025
Maggi Noodles Pack,Instant Food,56,0,56,127,1/20/2025
Surf Excel 2kg,Home Care,420,20,400,48,1/20/2025
Ariel Liquid 1L,Home Care,395,10,385,198,1/20/2025
Lux Soap Pack,Personal Care,160,20,140,107,1/20/2025
Clinic Plus Shampoo 650ml,Personal Care,340,0,340,110,1/20/2025
Colgate Toothpaste 200g,Personal Care,135,30,105,76,1/20/2025
Harpic Toilet Cleaner,Home Care,190,10,180,18,1/20/2025
Good Day Biscuits,Snacks,30,15,15,87,1/20/2025
Britannia Bread,Bakery,45,30,15,66,1/20/2025
Tropicana Juice 1L,Beverages,120,0,120,41,1/20/2025
Pepsi 2.25L,Beverages,99,10,89,126,1/20/2025
Cadbury Dairy Milk,Confectionery,40,5,35,24,1/20/2025
Aashirvaad Atta 5kg,Staples,320,15,305,86,1/21/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,91,1/21/2025
India Gate Rice 5kg,Staples,420,0,420,19,1/21/2025
Amul Milk 1L,Dairy,62,20,42,134,1/21/2025
Amul Butter 500g,Dairy,275,10,265,173,1/21/2025
Tata Tea Gold 500g,Beverages,265,30,235,147,1/21/2025
Nescafe Coffee 200g,Beverages,240,30,210,22,1/21/2025
Parle-G Biscuits,Snacks,10,30,-20,113,1/21/2025
Maggi Noodles Pack,Instant Food,56,0,56,194,1/21/2025
Surf Excel 2kg,Home Care,420,10,410,47,1/21/2025
Ariel Liquid 1L,Home Care,395,30,365,51,1/21/2025
Lux Soap Pack,Personal Care,160,5,155,46,1/21/2025
Clinic Plus Shampoo 650ml,Personal Care,340,30,310,59,1/21/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,191,1/21/2025
Harpic Toilet Cleaner,Home Care,190,15,175,140,1/21/2025
Good Day Biscuits,Snacks,30,30,0,107,1/21/2025
Britannia Bread,Bakery,45,20,25,124,1/21/2025
Tropicana Juice 1L,Beverages,120,0,120,56,1/21/2025
Pepsi 2.25L,Beverages,99,0,99,46,1/21/2025
Cadbury Dairy Milk,Confectionery,40,10,30,173,1/21/2025
Aashirvaad Atta 5kg,Staples,320,0,320,46,1/22/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,185,1/22/2025
India Gate Rice 5kg,Staples,420,15,405,12,1/22/2025
Amul Milk 1L,Dairy,62,15,47,173,1/22/2025
Amul Butter 500g,Dairy,275,30,245,145,1/22/2025
Tata Tea Gold 500g,Beverages,265,0,265,67,1/22/2025
Nescafe Coffee 200g,Beverages,240,20,220,72,1/22/2025
Parle-G Biscuits,Snacks,10,30,-20,197,1/22/2025
Maggi Noodles Pack,Instant Food,56,5,51,54,1/22/2025
